id,category,question,answer
42,Orders,I want to cancel my purchase,"If it has been less than an hour, you can cancel via ""My Orders"". Otherwise, you may need to initiate a return."
43,Orders,How do I stop my order from shipping?,"Please cancel your order immediately in ""My Orders"". If it has already shipped, it cannot be stopped."
44,Orders,Is it too late to cancel?,"Orders process quickly. If the ""Cancel"" button is no longer visible in your account, it's too late to cancel."
45,Orders,I canceled my order but didn't get a refund,Refunds for canceled orders take 3-5 business days to process depending on your bank.
46,Orders,Can I change the size of the item I ordered?,We cannot modify items in an order once placed. Please cancel and reorder within 1 hour.
47,Orders,I ordered the wrong color,"To change a color, please cancel the original order within 1 hour and place a new one."
48,Orders,Can I add an item to my existing order?,We cannot add items to an existing order. Please place a separate order for the additional items.
49,Orders,How do I change my shipping address on an order?,"You can update the shipping address within 1 hour of ordering via the ""My Orders"" page."
50,Orders,I put the wrong address on my order,"If the order hasn't shipped, update it in ""My Orders"". If it has, contact the courier immediately."
51,Orders,An item is missing from my package,We apologize! Please contact support with your order number and we will resolve this immediately.
52,Orders,I didn't receive everything I ordered,"Sometimes items ship separately. Check your tracking for multiple packages. If not, contact support."
53,Orders,Part of my order is missing,"Please check if your order was split into multiple shipments. If all shipments arrived, contact customer service."
54,Orders,I received the wrong item,We're sorry for the mix-up. Please initiate a return for the wrong item and contact support for a replacement.
55,Orders,This is not what I ordered,Please send us a photo of the incorrect item and your order number so we can send the correct product.
56,Orders,You sent me the wrong size,Apologies! Please use our returns portal to send back the wrong size and we will ship the correct one.
57,Orders,My order arrived damaged,Please contact support within 48 hours with photos of the damaged item and packaging for a replacement.
58,Orders,The product is broken,We are sorry your item arrived broken. Send us a picture and your order number for a full refund or replacement.
59,Orders,Did my order go through?,"If your order was successful, you will receive a confirmation email and see it in your ""Order History""."
60,Orders,I didn't get a confirmation email,"Please check your spam folder. If it's not there, verify your email address in your profile or contact support."
61,Orders,Where is my receipt?,"Your receipt is emailed to you upon purchase and can also be downloaded from your ""Order History""."
62,Orders,Can I get a gift receipt?,"Yes, you can select ""Gift Options"" at checkout to include a gift receipt without prices."
63,Orders,Do you offer gift wrapping?,"Yes, gift wrapping is available for an additional fee at checkout."
64,Orders,Is it possible to delay my order shipment?,"Currently, we cannot delay or schedule shipments for a specific future date."
65,Orders,Can I pick up my order in store?,"If you live near a retail location, you can select ""BOPIS"" (Buy Online, Pick Up In Store) at checkout."
66,Shipping,How long does shipping take?,"Standard shipping takes 3-5 business days, while expedited shipping takes 1-2 business days."
67,Shipping,What are your delivery times?,We deliver Monday through Friday between 8 AM and 8 PM.
68,Shipping,Do you deliver on weekends?,Weekend delivery depends on the courier and your location. It is typically only available for expedited shipping.
69,Shipping,Why is my shipping taking so long?,"Delays can happen due to weather, high volume, or courier issues. Please check your tracking link for updates."
70,Shipping,How much is shipping?,"Standard shipping is $5.99, but it is free for orders over $50."
71,Shipping,Do you offer free shipping?,"Yes, we offer free standard shipping on all orders over $50."
72,Shipping,What is the cost for expedited shipping?,"Expedited 2-day shipping costs $15, and Next-Day delivery costs $25."
73,Shipping,Why was I charged for shipping?,"If your order total after discounts was under $50, the standard shipping fee applies."
74,Shipping,Do you ship internationally?,"Yes, we ship to over 100 countries. International shipping rates are calculated at checkout."
75,Shipping,How much is international shipping?,International shipping costs vary by destination and weight. You will see the exact cost at checkout.
76,Shipping,Will I have to pay customs fees?,"International orders may be subject to import taxes or customs duties, which are the buyer's responsibility."
77,Shipping,Do you ship to P.O. boxes?,"Yes, standard shipping is available to P.O. boxes, but expedited shipping requires a physical address."
78,Shipping,Can I change my shipping address after it ships?,"Once an order has shipped, we cannot change the address. You can try contacting the courier directly to reroute it."
79,Shipping,The tracking says delivered but I don't have it,"Please check with neighbors or your building manager. If it's still missing after 24 hours, contact support."
80,Shipping,My package was stolen,"If your package was marked delivered but is missing, please contact support so we can open an investigation."
81,Shipping,Who delivers your packages?,"We partner with major carriers including UPS, FedEx, and USPS depending on the shipping method chosen."
82,Shipping,Can I choose my courier?,"Currently, our system automatically selects the best courier based on your location and shipping speed."
83,Shipping,Do you require a signature for delivery?,Signatures are only required for orders over $500 or if specifically requested by the customer.
84,Shipping,What happens if I'm not home for delivery?,The courier will usually leave the package in a secure location or leave a note with redelivery instructions.
85,Shipping,Do you offer same-day delivery?,Same-day delivery is available in select zip codes for orders placed before 12 PM local time.
86,Payments,What payment methods do you accept?,"We accept Visa, MasterCard, American Express, Discover, PayPal, and Apple Pay."
87,Payments,Can I pay with PayPal?,"Yes, you can select PayPal as your payment method during checkout."
88,Payments,Do you accept Apple Pay?,"Yes, Apple Pay is available for customers shopping on compatible Apple devices."
89,Payments,Can I use a debit card?,"Yes, we accept all major debit cards that feature a Visa or MasterCard logo."
90,Payments,Do you offer financing or installment plans?,"Yes, we partner with Klarna and Afterpay to offer ""Buy Now, Pay Later"" installment plans."
91,Payments,My payment was declined,"Please double-check your billing address and card details. If it still fails, contact your bank."
92,Payments,Why is my card not working?,"Cards can be declined for insufficient funds, incorrect CVV, or anti-fraud blocks. Please contact your card issuer."
93,Payments,I keep getting a payment error,"Try clearing your browser cache or using a different browser. If the issue persists, try an alternative payment method."
94,Payments,You charged me twice,"If you see duplicate charges, one is likely a pending authorization that will drop off in 2-3 business days."
95,Payments,Why is there a pending charge on my canceled order?,"When you cancel an order, the pending authorization may take up to 5 business days to disappear from your statement."
96,Payments,How do I apply a promo code?,"Enter your promo code in the ""Discount Code"" box at checkout and click ""Apply""."
97,Payments,My discount code isn't working,"Ensure the code hasn't expired, is spelled correctly, and applies to the items in your cart. Some codes cannot be combined."
98,Payments,Can I use multiple promo codes?,"No, our system only allows one promo code to be applied per order."
99,Payments,I forgot to add my promo code,"If your order hasn't shipped yet, contact support and we can apply the valid promo code to your recent order."
100,Payments,Where can I find discount codes?,Sign up for our newsletter or follow us on social media to receive the latest promotional codes and offers.
101,Payments,How do I get an invoice for my company?,"You can download a VAT/commercial invoice directly from the ""Order History"" section of your account."
102,Payments,Is it safe to use my credit card on your site?,"Yes, our checkout is protected by industry-standard 256-bit SSL encryption to ensure your data is secure."
103,Payments,Do you store my credit card information?,We do not store your full credit card number. Payment data is tokenized and securely handled by our payment gateway.
104,Payments,Can I pay with store credit?,"Yes, if you have a store credit balance, you can select it as a payment option during checkout."
105,Payments,How do I check my gift card balance?,"You can check your gift card balance in your account dashboard under the ""Gift Cards"" tab."
106,Returns & Refunds,What is your return policy?,"We accept returns of unworn, unwashed items with tags attached within 30 days of delivery."
107,Returns & Refunds,How many days do I have to return an item?,You have 30 days from the date of delivery to initiate a return.
108,Returns & Refunds,Can I return a final sale item?,"No, items marked as ""Final Sale"" cannot be returned or exchanged."
109,Returns & Refunds,How do I return an item?,"Visit our Returns Center online, enter your order number, and print the prepaid shipping label."
110,Returns & Refunds,Where do I get a return label?,You can generate and print a prepaid return shipping label via our online Returns Portal.
111,Returns & Refunds,Do I have to pay for return shipping?,"Returns are free if you opt for store credit. If you want a refund to your original payment method, a $5 fee is deducted."
112,Returns & Refunds,Can I return online purchases in-store?,"Yes, you can bring your online order and digital receipt to any of our retail locations for a free return."
113,Returns & Refunds,When will I receive my refund?,Refunds are usually processed within 5-7 business days after we receive your returned item.
114,Returns & Refunds,Where is my refund?,"If you have received a refund confirmation email, please allow 3-5 business days for your bank to post the funds."
115,Returns & Refunds,Why hasn't my refund shown up yet?,"Refund processing times depend on your financial institution. If it's been over 10 days, please contact your bank."
116,Returns & Refunds,Will my shipping fee be refunded?,Original shipping fees are non-refundable unless the return is due to an error on our part or a defective item.
117,Returns & Refunds,Can I exchange an item?,"Yes, we offer free exchanges for different sizes or colors within 30 days. Select ""Exchange"" in the Returns Portal."
118,Returns & Refunds,How do I swap my item for a different size?,"Go to our Returns Center, select the item you want to send back, and choose your new size for an exchange."
119,Returns & Refunds,I received a defective item what do I do?,"Please contact support with photos of the defect within 30 days, and we will send a replacement free of charge."
120,Returns & Refunds,My item broke after one use,"We stand by our quality. Contact customer service with photos, and we'll issue a refund or replacement for faulty items."
121,Returns & Refunds,Can I return a gift?,"Yes, you can return a gift for store credit. You will need the order number or the purchaser's email address."
122,Returns & Refunds,I want to return a gift without the sender knowing,"Process the return as a ""Gift Return"" in our portal using the order number. The refund will be issued to you as store credit."
123,Returns & Refunds,Do I need the original packaging to return?,"While preferred, it is not required. However, items must be securely packaged to avoid damage in transit."
124,Returns & Refunds,Can I return multiple orders in one box?,"To ensure accurate processing, please return items from different orders in separate boxes with their respective labels."
125,Returns & Refunds,I returned the wrong item by mistake,Please contact customer service immediately. We will do our best to intercept the package and return your item to you.
126,Returns & Refunds,How will I be refunded?,"Refunds are issued back to the original form of payment used for the purchase, or as store credit if requested."
127,Returns & Refunds,Can you refund to a different card?,"For security reasons, we can only refund the original payment method or issue store credit."
128,Returns & Refunds,My credit card was canceled how do I get my refund?,Refunds sent to a closed account are usually forwarded to your new account or mailed as a check by your bank.
129,Returns & Refunds,What items are non-returnable?,"Intimates, earrings, personalized items, and clearance goods marked ""Final Sale"" cannot be returned."
130,Returns & Refunds,Can I return worn shoes?,Shoes must be returned in unworn condition. We recommend trying them on indoors on a carpeted surface.
131,Technical Support,The website is not loading,"Please try clearing your browser cache and cookies, or try accessing the site in Incognito mode."
132,Technical Support,Why is the site so slow?,We may be experiencing high traffic. Please refresh the page or try again in a few minutes.
133,Technical Support,The mobile app keeps crashing,Please ensure you have the latest version of our app installed. Try uninstalling and reinstalling if the issue persists.
134,Technical Support,I can't open the app,Restart your device and check for updates in the App Store or Google Play. Contact us if it still won't open.
135,Technical Support,Items disappear from my cart,This can happen if your browser blocks cookies or a session expires. Try logging into your account to save your cart.
136,Technical Support,I can't add items to my cart,Clear your browser cache or try a different browser. Ensure the item is actually in stock before adding.
137,Technical Support,The checkout page is frozen,"Please do not hit back or refresh. If it stays frozen for over 5 minutes, close the tab and try again."
138,Technical Support,I keep getting a 404 error,A 404 error means the page no longer exists. Please use the search bar to find the product you are looking for.
139,Technical Support,My screen says 500 Internal Server Error,This is a temporary issue on our end. Please wait a few minutes and try refreshing the page.
140,Technical Support,Why is my password not working?,"Passwords are case sensitive. Make sure Caps Lock is off. If it still fails, use the password reset link."
141,Technical Support,I didn't get the password reset email,"Check your spam/junk folder. If it's not there, ensure you entered the exact email address used to register."
142,Technical Support,Your website looks weird on my phone,"Our site is optimized for modern browsers like Chrome, Safari, and Firefox. Please ensure your browser is up to date."
143,Technical Support,I can't click the checkout button,Make sure all required fields (like shipping method and address) are filled out. Missing fields can disable the button.
144,Technical Support,Promo code box isn't showing up,The promo code box is located on the right side of the checkout page above your subtotal. It may be collapsed on mobile.
145,Technical Support,Is there an issue with your servers right now?,"You can check our system status page. If there is scheduled maintenance, a banner will be displayed on the homepage."
146,Technical Support,I can't upload a picture for my custom order,Please ensure your image is in JPG or PNG format and is under 5MB in size.
147,Technical Support,The search bar isn't working,"Try typing a broader keyword. If the technical glitch persists, try clearing your browser's cache."
148,Technical Support,How do I clear my cache?,"In most browsers, press Ctrl+Shift+Delete (Windows) or Cmd+Shift+Delete (Mac) to access the clear cache menu."
149,Technical Support,My account language changed,Scroll to the very bottom of the homepage and select your preferred language from the dropdown menu.
150,Technical Support,Currency is displaying incorrectly,You can change the displayed currency using the selector at the top right corner of the website.
151,Contact & General,How do I contact customer service?,"You can reach us via live chat, email at support@example.com, or call us at 1-800-555-0199."
152,Contact & General,I want to talk to a human,"Please type ""agent"" in the chat to be transferred, or call our support line during business hours."
153,Contact & General,Can I call you?,"Yes, our customer service phone number is 1-800-555-0199."
154,Contact & General,What is your phone number?,You can reach our support team directly at 1-800-555-0199.
155,Contact & General,What are your business hours?,"Our customer support team is available Monday through Friday, 8 AM to 8 PM EST."
156,Contact & General,Are you open on weekends?,"Our live chat and phone support are closed on weekends, but you can always email us and we will reply Monday."
157,Contact & General,Where are you located?,"Our headquarters is located in New York City, with fulfillment centers across the country."
158,Contact & General,Do you have physical stores?,"Yes, we have retail locations in New York, Los Angeles, and Chicago. Check our ""Store Locator"" page."
159,Contact & General,Can I visit your store?,Absolutely! Use our store locator on the website to find the location and hours of a store near you.
160,Contact & General,How long does it take to get an email reply?,We aim to respond to all email inquiries within 24 business hours.
161,Contact & General,I emailed but nobody replied,"We apologize for the delay. Please check your spam folder, or reach out via live chat for immediate assistance."
162,Contact & General,Do you offer wholesale accounts?,"Yes, we do! Please visit our B2B Wholesale page and submit an application."
163,Contact & General,I want to buy in bulk,"For bulk purchases, please contact our sales team at sales@example.com for potential discounts."
164,Contact & General,Do you do corporate gifting?,"Yes, we offer specialized corporate gifting packages. Please email corporate@example.com for a catalog."
165,Contact & General,Are your products authentic?,"Yes, we are an authorized retailer for all the brands we carry, guaranteeing 100% authenticity."
166,Contact & General,Is this a scam website?,"We are a verified, legitimate business operating for over 10 years with thousands of positive reviews."
167,Contact & General,Where can I read reviews?,"You can read customer reviews on each product page, or visit our Trustpilot profile for company reviews."
168,Contact & General,How do I leave a review?,"A few days after your purchase, you will receive an email with a link to review the items you bought."
169,Contact & General,Do you price match?,We price match identical items from authorized major retailers within 7 days of purchase.
170,Contact & General,Does your company care about sustainability?,"Yes, we use 100% recyclable packaging and offset our carbon emissions for all shipping."
171,Greetings,Hello,Hello! How can I assist you today?
172,Greetings,Hi,Hi! How may I help you?
173,Greetings,Hey there,Hey! What can I help you with today?
174,Greetings,Good morning,Good morning! How can I help you today?
175,Greetings,Good evening,Good evening! What can I do for you?
176,Greetings,Is anyone there?,"Yes, I'm here! How can I assist you?"
177,Greetings,Can you help me?,Of course! Please tell me what you need help with.
178,Greetings,Thank you,You're welcome! Is there anything else I can help with?
179,Greetings,Thanks for your help,Happy to help! Let me know if you need anything else.
180,Greetings,"Bye, see you later","Goodbye! Have a great day, and feel free to come back anytime."
181,Account,How do I reset my password?,"Click ""Forgot Password"" on the login page and follow the instructions sent to your email."
182,Account,"I forgot my password, what do I do?","Go to the login page and select ""Forgot Password"" to receive a reset link via email."
183,Account,How can I change my password?,"Log in, go to ""Account Settings,"" and select ""Change Password"" to update it."
184,Account,How do I create an account?,"Click ""Sign Up"" on the homepage, enter your details, and verify your email to activate your account."
185,Account,I want to sign up for a new account,"You can register by clicking ""Sign Up"" and filling in your name, email, and password."
186,Account,How do I delete my account?,"Go to ""Account Settings"" > ""Privacy"" and select ""Delete Account."" Note this action is permanent."
187,Account,Can I close my account permanently?,"Yes, you can permanently close your account from Account Settings > Privacy > Delete Account."
188,Account,How do I update my email address?,"Go to ""Account Settings"" > ""Personal Information"" to update your registered email address."
189,Account,How do I change my phone number on file?,"Navigate to ""Account Settings"" > ""Personal Information"" and edit your phone number."
190,Account,How do I update my shipping address?,"Go to ""Account Settings"" > ""Addresses"" to add, edit, or remove saved addresses."
191,Account,Can I have multiple saved addresses?,"Yes, you can save multiple addresses under ""Account Settings"" > ""Addresses"" and choose one at checkout."
192,Account,Why can't I log into my account?,"Double-check your email and password. If the issue continues, reset your password or contact support."
193,Account,"My account is locked, what should I do?",Accounts are usually locked after multiple failed login attempts. Reset your password or contact support to unlock it.
194,Account,How do I verify my email address?,Check your inbox for a verification email and click the confirmation link. You can resend it from the login page if needed.
195,Account,I didn't receive my verification email,"Check your spam folder first. If it's not there, click ""Resend Verification Email"" on the login page."
196,Account,How do I enable two-factor authentication?,"Go to ""Account Settings"" > ""Security"" and turn on two-factor authentication for added protection."
197,Account,Is two-factor authentication required?,Two-factor authentication is optional but highly recommended for extra account security.
198,Account,Can I merge two accounts into one?,"Currently, accounts cannot be merged. Please continue using your primary account for future orders."
199,Account,How do I update my saved payment methods?,"Go to ""Account Settings"" > ""Payment Methods"" to add, edit, or remove cards."
200,Account,How can I view my order history?,"Go to ""My Orders"" in your account dashboard to see all past and current orders."
201,Account,Can I change my username?,"Usernames are tied to your email and cannot be changed directly, but you can update your display name in Account Settings."
202,Account,How do I subscribe to the newsletter?,"Go to ""Account Settings"" > ""Communication Preferences"" and opt in to email updates."
203,Account,How do I unsubscribe from marketing emails?,"Click ""Unsubscribe"" at the bottom of any marketing email, or turn it off in ""Communication Preferences."""
204,Account,Is my personal information secure?,"Yes, we use industry-standard encryption to protect your personal and payment information."
205,Account,How do I update my date of birth or personal details?,"Go to ""Account Settings"" > ""Personal Information"" to update your profile details."
206,Orders,Where is my order?,"Go to ""My Orders"" to view the latest tracking information."
207,Orders,How do I track my package?,"Visit ""My Orders,"" select the order, and click ""Track Package"" for live updates."
208,Orders,Can you tell me the status of my order?,"You can check real-time order status anytime under ""My Orders."""
209,Orders,How do I place an order?,"Add items to your cart, proceed to checkout, enter your shipping and payment details, and confirm your purchase."
210,Orders,Can I cancel my order?,"Yes, go to ""My Orders"" and select ""Cancel Order"" if it hasn't shipped yet."
211,Orders,How do I cancel an order I just placed?,"Orders can be cancelled within a short window after purchase from ""My Orders,"" as long as they haven't shipped."
212,Orders,Can I modify my order after placing it?,"Order details like size or color usually can't be changed after placing, but you can cancel and reorder if it hasn't shipped."
213,Orders,How do I add an item to an order I already placed?,"Once an order is placed, items can't be added to it. Please place a new order for additional items."
214,Orders,Can I change my shipping address after ordering?,"If the order hasn't shipped yet, contact support immediately to update the shipping address."
215,Orders,My order shows as delivered but I haven't received it,"Please check with neighbors or your building's front desk, then contact support if you still can't locate it."
216,Orders,Why is my order delayed?,"Delays can happen due to high demand, weather, or carrier issues. Check tracking for the latest updates."
217,Orders,How long does it take to process an order?,Orders are typically processed within 1–2 business days before shipping.
218,Orders,Can I combine two orders into one shipment?,"Orders placed separately usually can't be combined, but you can contact support to check if it's still possible."
219,Orders,How do I view my order confirmation?,"An order confirmation is emailed to you immediately after purchase, and it's also viewable under ""My Orders."""
220,Orders,I didn't get an order confirmation email,"Check your spam folder, or view your confirmation directly under ""My Orders"" in your account."
221,Orders,Can I order an item that's out of stock?,"You can click ""Notify Me"" on the product page to get an alert when it's back in stock."
222,Orders,When will an out-of-stock item be available again?,Restock timing varies by item. We recommend turning on restock notifications for updates.
223,Orders,How do I reorder a previous purchase?,"Go to ""My Orders,"" find the past order, and click ""Buy Again."""
224,Orders,Can I order as a guest without an account?,"Yes, guest checkout is available, though creating an account lets you track orders more easily."
225,Orders,How do I apply a promo code to my order?,"Enter your promo code in the ""Discount Code"" field at checkout before confirming payment."
226,Orders,My promo code isn't working,"Check the code's expiration date and terms. If it still fails, contact support with the code and order details."
227,Orders,Can I split my order into multiple deliveries?,"Some orders may ship in multiple packages automatically depending on warehouse location, but you can't manually split deliveries."
228,Orders,Why was my order cancelled automatically?,"Orders can be auto-cancelled due to payment issues, stock unavailability, or fraud checks. Check your email for details."
229,Orders,How do I know if my order was successfully placed?,"You'll receive an order confirmation email, and the order will appear under ""My Orders"" with a status update."
230,Orders,Can I order items for international shipping?,"Yes, international shipping is available for most items; eligible countries are shown at checkout."
231,Orders,How do I request a gift receipt?,"Select ""This is a gift"" at checkout to include a gift receipt without prices."
232,Orders,Can I send an order directly to someone else's address?,"Yes, simply enter the recipient's address as the shipping address at checkout."
233,Orders,How do I check what items are in my order?,"Open the order under ""My Orders"" to see a full list of items, quantities, and prices."
234,Orders,Is there a limit to how many items I can order at once?,"Most items have no strict limit, though high-demand products may have a per-customer purchase limit."
235,Orders,"My order was charged twice, what happened?",This is often a temporary authorization hold rather than a duplicate charge. Contact support if it doesn't resolve within a few days.
236,Shipping,How long does shipping take?,"Standard shipping typically takes 3–7 business days, depending on your location."
237,Shipping,What are your shipping options?,"We offer standard, expedited, and express shipping options at checkout."
238,Shipping,How much does shipping cost?,"Shipping cost depends on your location, order size, and chosen delivery speed; the exact fee is shown at checkout."
239,Shipping,Do you offer free shipping?,"Yes, free standard shipping is available on orders over a minimum amount, shown at checkout."
240,Shipping,Do you ship internationally?,"Yes, we ship to many countries internationally. Availability is shown at checkout based on your address."
241,Shipping,How can I track my shipment?,"Go to ""My Orders"" and click ""Track Package"" to see real-time shipment updates."
242,Shipping,Why hasn't my tracking updated in days?,"Tracking can lag during transit, especially with carrier handoffs. It usually updates once the package reaches the next checkpoint."
243,Shipping,Can I change my delivery address after the order has shipped?,"Once an order has shipped, the delivery address can't be changed. Contact the carrier directly for redirect options if available."
244,Shipping,What happens if I'm not home for delivery?,"Carriers typically leave the package in a safe spot or attempt redelivery, depending on their policy."
245,Shipping,Can I schedule a specific delivery date or time?,"Some expedited shipping options allow date selection at checkout, though exact time slots aren't guaranteed."
246,Shipping,Do you offer same-day delivery?,Same-day delivery is available in select areas for eligible orders placed before the daily cutoff time.
247,Shipping,What carriers do you use for shipping?,We partner with major carriers and select the best option based on your location and shipping speed.
248,Shipping,"My package arrived damaged, what should I do?",Please contact support with photos of the damaged package so we can arrange a replacement or refund.
249,Shipping,My tracking says delivered but I never got it,"Check around your delivery location and with neighbors first, then contact support if it remains missing."
250,Shipping,Can I pick up my order in-store instead of shipping?,In-store pickup is available for select locations and items; this option will appear at checkout if eligible.
251,Shipping,Do you ship to PO boxes?,"Yes, most items can be shipped to PO boxes, though some oversized items may require a physical address."
252,Shipping,What is the shipping cutoff time for next-day delivery?,Orders must typically be placed before the daily cutoff shown at checkout to qualify for next-day delivery.
253,Shipping,Why is my order shipping in multiple packages?,Items stored in different warehouses may ship separately to get you your order faster.
254,Shipping,Can I expedite shipping after placing my order?,Shipping speed usually can't be changed after an order is placed. Contact support to see if it's still possible before dispatch.
255,Shipping,Do you charge customs or import fees?,"International orders may be subject to customs duties or import taxes, which are the buyer's responsibility."
256,Payments,What payment methods do you accept?,"We accept major credit/debit cards, PayPal, and select digital wallets."
257,Payments,Can I pay with PayPal?,"Yes, PayPal is available as a payment option at checkout."
258,Payments,Do you accept Apple Pay or Google Pay?,"Yes, both Apple Pay and Google Pay are supported at checkout where available."
259,Payments,Why was my payment declined?,"Payments can be declined due to insufficient funds, incorrect card details, or your bank's security checks. Try another payment method or contact your bank."
260,Payments,Is it safe to enter my card information on your site?,"Yes, all payment information is encrypted and processed through secure, PCI-compliant systems."
261,Payments,Can I pay in installments?,Installment payment plans are available at checkout for eligible orders through our partnered providers.
262,Payments,How do I update my billing address?,"Go to ""Account Settings"" > ""Payment Methods"" to update your billing address."
263,Payments,Can I use multiple payment methods for one order?,"Currently, only one payment method can be used per order."
264,Payments,Why was I charged before my order shipped?,"Payment is typically authorized at checkout to confirm funds, even though the full order may ship later."
265,Payments,How do I remove a saved card from my account?,"Go to ""Account Settings"" > ""Payment Methods"" and select ""Remove"" next to the card you want to delete."
266,Payments,Can I use a gift card to pay for my order?,"Yes, enter your gift card code in the ""Gift Card"" field at checkout to apply the balance."
267,Payments,How do I check my gift card balance?,"Go to ""Account Settings"" > ""Gift Cards"" or enter your gift card number on the gift card balance page."
268,Payments,Do you accept cash on delivery?,Cash on delivery may be available in select regions; this option will appear at checkout if eligible.
269,Payments,Why does my statement show a different charge amount?,This may include currency conversion fees or split payments. Contact support with your order number for clarification.
270,Payments,Can I get an invoice for my order?,"Yes, you can download an invoice from ""My Orders"" by selecting the specific order."
271,Payments,Is sales tax included in the price shown?,Sales tax is calculated based on your shipping address and added at checkout before final payment.
272,Payments,How do I update an expired credit card on file?,"Go to ""Account Settings"" > ""Payment Methods"" to remove the expired card and add a new one."
273,Payments,Why do I see a pending charge that hasn't gone through?,This is usually a temporary authorization hold that will clear or finalize within a few business days.
274,Payments,Can I split payment between a gift card and credit card?,"Yes, gift card balances can be combined with another payment method to cover the remaining total."
275,Payments,Do prices include currency conversion for international orders?,"Prices are shown in your local currency when possible, but your bank may apply its own conversion rate and fees."
276,Returns & Refunds,When will I receive my refund?,Refunds are usually processed within 5–7 business days after we receive the returned item.
277,Returns & Refunds,How do I return an item?,"Go to ""My Orders,"" select the item, and click ""Start a Return"" to get a prepaid shipping label."
278,Returns & Refunds,What is your return policy?,"Most items can be returned within 30 days of delivery, provided they're unused and in original packaging."
279,Returns & Refunds,Can I exchange an item instead of returning it?,"Yes, select ""Exchange"" instead of ""Return"" under ""My Orders"" to choose a different size or color."
280,Returns & Refunds,How do I get a refund instead of store credit?,"Select ""Refund to Original Payment Method"" when starting your return under ""My Orders."""
281,Returns & Refunds,"My refund hasn't shown up yet, what should I do?","Refunds can take a few extra days to appear on your statement. If it's been over 10 business days, contact support."
282,Returns & Refunds,Can I return an item without the original packaging?,"Items are best returned in original packaging, but some items may still be accepted on a case-by-case basis."
283,Returns & Refunds,Is return shipping free?,Return shipping is free for most items; a prepaid label is provided when you start your return.
