id,category,question,answer,clean_question
52,Orders,I didn't receive everything I ordered,"Sometimes items ship separately. Check your tracking for multiple packages. If not, contact support.",i didnt receive everything i ordered
53,Orders,Part of my order is missing,"Please check if your order was split into multiple shipments. If all shipments arrived, contact customer service.",part of my order is missing
54,Orders,I received the wrong item,We're sorry for the mix-up. Please initiate a return for the wrong item and contact support for a replacement.,i received the wrong item
55,Orders,This is not what I ordered,Please send us a photo of the incorrect item and your order number so we can send the correct product.,this is not what i ordered
56,Orders,You sent me the wrong size,Apologies! Please use our returns portal to send back the wrong size and we will ship the correct one.,you sent me the wrong size
57,Orders,My order arrived damaged,Please contact support within 48 hours with photos of the damaged item and packaging for a replacement.,my order arrived damaged
58,Orders,The product is broken,We are sorry your item arrived broken. Send us a picture and your order number for a full refund or replacement.,the product is broken
59,Orders,Did my order go through?,"If your order was successful, you will receive a confirmation email and see it in your ""Order History"".",did my order go through
60,Orders,I didn't get a confirmation email,"Please check your spam folder. If it's not there, verify your email address in your profile or contact support.",i didnt get a confirmation email
61,Orders,Where is my receipt?,"Your receipt is emailed to you upon purchase and can also be downloaded from your ""Order History"".",where is my receipt
62,Orders,Can I get a gift receipt?,"Yes, you can select ""Gift Options"" at checkout to include a gift receipt without prices.",can i get a gift receipt
63,Orders,Do you offer gift wrapping?,"Yes, gift wrapping is available for an additional fee at checkout.",do you offer gift wrapping
64,Orders,Is it possible to delay my order shipment?,"Currently, we cannot delay or schedule shipments for a specific future date.",is it possible to delay my order shipment
65,Orders,Can I pick up my order in store?,"If you live near a retail location, you can select ""BOPIS"" (Buy Online, Pick Up In Store) at checkout.",can i pick up my order in store
66,Shipping,How long does shipping take?,"Standard shipping takes 3-5 business days, while expedited shipping takes 1-2 business days.",how long does shipping take
67,Shipping,What are your delivery times?,We deliver Monday through Friday between 8 AM and 8 PM.,what are your delivery times
68,Shipping,Do you deliver on weekends?,Weekend delivery depends on the courier and your location. It is typically only available for expedited shipping.,do you deliver on weekends
69,Shipping,Why is my shipping taking so long?,"Delays can happen due to weather, high volume, or courier issues. Please check your tracking link for updates.",why is my shipping taking so long
70,Shipping,How much is shipping?,"Standard shipping is $5.99, but it is free for orders over $50.",how much is shipping
71,Shipping,Do you offer free shipping?,"Yes, we offer free standard shipping on all orders over $50.",do you offer free shipping
72,Shipping,What is the cost for expedited shipping?,"Expedited 2-day shipping costs $15, and Next-Day delivery costs $25.",what is the cost for expedited shipping
73,Shipping,Why was I charged for shipping?,"If your order total after discounts was under $50, the standard shipping fee applies.",why was i charged for shipping
74,Shipping,Do you ship internationally?,"Yes, we ship to over 100 countries. International shipping rates are calculated at checkout.",do you ship internationally
75,Shipping,How much is international shipping?,International shipping costs vary by destination and weight. You will see the exact cost at checkout.,how much is international shipping
76,Shipping,Will I have to pay customs fees?,"International orders may be subject to import taxes or customs duties, which are the buyer's responsibility.",will i have to pay customs fees
77,Shipping,Do you ship to P.O. boxes?,"Yes, standard shipping is available to P.O. boxes, but expedited shipping requires a physical address.",do you ship to po boxes
78,Shipping,Can I change my shipping address after it ships?,"Once an order has shipped, we cannot change the address. You can try contacting the courier directly to reroute it.",can i change my shipping address after it ships
79,Shipping,The tracking says delivered but I don't have it,"Please check with neighbors or your building manager. If it's still missing after 24 hours, contact support.",the tracking says delivered but i dont have it
80,Shipping,My package was stolen,"If your package was marked delivered but is missing, please contact support so we can open an investigation.",my package was stolen
81,Shipping,Who delivers your packages?,"We partner with major carriers including UPS, FedEx, and USPS depending on the shipping method chosen.",who delivers your packages
82,Shipping,Can I choose my courier?,"Currently, our system automatically selects the best courier based on your location and shipping speed.",can i choose my courier
83,Shipping,Do you require a signature for delivery?,Signatures are only required for orders over $500 or if specifically requested by the customer.,do you require a signature for delivery
84,Shipping,What happens if I'm not home for delivery?,The courier will usually leave the package in a secure location or leave a note with redelivery instructions.,what happens if im not home for delivery
85,Shipping,Do you offer same-day delivery?,Same-day delivery is available in select zip codes for orders placed before 12 PM local time.,do you offer sameday delivery
86,Payments,What payment methods do you accept?,"We accept Visa, MasterCard, American Express, Discover, PayPal, and Apple Pay.",what payment methods do you accept
87,Payments,Can I pay with PayPal?,"Yes, you can select PayPal as your payment method during checkout.",can i pay with paypal
88,Payments,Do you accept Apple Pay?,"Yes, Apple Pay is available for customers shopping on compatible Apple devices.",do you accept apple pay
89,Payments,Can I use a debit card?,"Yes, we accept all major debit cards that feature a Visa or MasterCard logo.",can i use a debit card
90,Payments,Do you offer financing or installment plans?,"Yes, we partner with Klarna and Afterpay to offer ""Buy Now, Pay Later"" installment plans.",do you offer financing or installment plans
91,Payments,My payment was declined,"Please double-check your billing address and card details. If it still fails, contact your bank.",my payment was declined
92,Payments,Why is my card not working?,"Cards can be declined for insufficient funds, incorrect CVV, or anti-fraud blocks. Please contact your card issuer.",why is my card not working
93,Payments,I keep getting a payment error,"Try clearing your browser cache or using a different browser. If the issue persists, try an alternative payment method.",i keep getting a payment error
94,Payments,You charged me twice,"If you see duplicate charges, one is likely a pending authorization that will drop off in 2-3 business days.",you charged me twice
95,Payments,Why is there a pending charge on my canceled order?,"When you cancel an order, the pending authorization may take up to 5 business days to disappear from your statement.",why is there a pending charge on my canceled order
96,Payments,How do I apply a promo code?,"Enter your promo code in the ""Discount Code"" box at checkout and click ""Apply"".",how do i apply a promo code
97,Payments,My discount code isn't working,"Ensure the code hasn't expired, is spelled correctly, and applies to the items in your cart. Some codes cannot be combined.",my discount code isnt working
98,Payments,Can I use multiple promo codes?,"No, our system only allows one promo code to be applied per order.",can i use multiple promo codes
99,Payments,I forgot to add my promo code,"If your order hasn't shipped yet, contact support and we can apply the valid promo code to your recent order.",i forgot to add my promo code
100,Payments,Where can I find discount codes?,Sign up for our newsletter or follow us on social media to receive the latest promotional codes and offers.,where can i find discount codes
101,Payments,How do I get an invoice for my company?,"You can download a VAT/commercial invoice directly from the ""Order History"" section of your account.",how do i get an invoice for my company
102,Payments,Is it safe to use my credit card on your site?,"Yes, our checkout is protected by industry-standard 256-bit SSL encryption to ensure your data is secure.",is it safe to use my credit card on your site
103,Payments,Do you store my credit card information?,We do not store your full credit card number. Payment data is tokenized and securely handled by our payment gateway.,do you store my credit card information
104,Payments,Can I pay with store credit?,"Yes, if you have a store credit balance, you can select it as a payment option during checkout.",can i pay with store credit
105,Payments,How do I check my gift card balance?,"You can check your gift card balance in your account dashboard under the ""Gift Cards"" tab.",how do i check my gift card balance
106,Returns & Refunds,What is your return policy?,"We accept returns of unworn, unwashed items with tags attached within 30 days of delivery.",what is your return policy
107,Returns & Refunds,How many days do I have to return an item?,You have 30 days from the date of delivery to initiate a return.,how many days do i have to return an item
108,Returns & Refunds,Can I return a final sale item?,"No, items marked as ""Final Sale"" cannot be returned or exchanged.",can i return a final sale item
109,Returns & Refunds,How do I return an item?,"Visit our Returns Center online, enter your order number, and print the prepaid shipping label.",how do i return an item
110,Returns & Refunds,Where do I get a return label?,You can generate and print a prepaid return shipping label via our online Returns Portal.,where do i get a return label
111,Returns & Refunds,Do I have to pay for return shipping?,"Returns are free if you opt for store credit. If you want a refund to your original payment method, a $5 fee is deducted.",do i have to pay for return shipping
112,Returns & Refunds,Can I return online purchases in-store?,"Yes, you can bring your online order and digital receipt to any of our retail locations for a free return.",can i return online purchases instore
113,Returns & Refunds,When will I receive my refund?,Refunds are usually processed within 5-7 business days after we receive your returned item.,when will i receive my refund
114,Returns & Refunds,Where is my refund?,"If you have received a refund confirmation email, please allow 3-5 business days for your bank to post the funds.",where is my refund
115,Returns & Refunds,Why hasn't my refund shown up yet?,"Refund processing times depend on your financial institution. If it's been over 10 days, please contact your bank.",why hasnt my refund shown up yet
116,Returns & Refunds,Will my shipping fee be refunded?,Original shipping fees are non-refundable unless the return is due to an error on our part or a defective item.,will my shipping fee be refunded
117,Returns & Refunds,Can I exchange an item?,"Yes, we offer free exchanges for different sizes or colors within 30 days. Select ""Exchange"" in the Returns Portal.",can i exchange an item
118,Returns & Refunds,How do I swap my item for a different size?,"Go to our Returns Center, select the item you want to send back, and choose your new size for an exchange.",how do i swap my item for a different size
119,Returns & Refunds,I received a defective item what do I do?,"Please contact support with photos of the defect within 30 days, and we will send a replacement free of charge.",i received a defective item what do i do
120,Returns & Refunds,My item broke after one use,"We stand by our quality. Contact customer service with photos, and we'll issue a refund or replacement for faulty items.",my item broke after one use
121,Returns & Refunds,Can I return a gift?,"Yes, you can return a gift for store credit. You will need the order number or the purchaser's email address.",can i return a gift
122,Returns & Refunds,I want to return a gift without the sender knowing,"Process the return as a ""Gift Return"" in our portal using the order number. The refund will be issued to you as store credit.",i want to return a gift without the sender knowing
123,Returns & Refunds,Do I need the original packaging to return?,"While preferred, it is not required. However, items must be securely packaged to avoid damage in transit.",do i need the original packaging to return
124,Returns & Refunds,Can I return multiple orders in one box?,"To ensure accurate processing, please return items from different orders in separate boxes with their respective labels.",can i return multiple orders in one box
125,Returns & Refunds,I returned the wrong item by mistake,Please contact customer service immediately. We will do our best to intercept the package and return your item to you.,i returned the wrong item by mistake
126,Returns & Refunds,How will I be refunded?,"Refunds are issued back to the original form of payment used for the purchase, or as store credit if requested.",how will i be refunded
127,Returns & Refunds,Can you refund to a different card?,"For security reasons, we can only refund the original payment method or issue store credit.",can you refund to a different card
128,Returns & Refunds,My credit card was canceled how do I get my refund?,Refunds sent to a closed account are usually forwarded to your new account or mailed as a check by your bank.,my credit card was canceled how do i get my refund
129,Returns & Refunds,What items are non-returnable?,"Intimates, earrings, personalized items, and clearance goods marked ""Final Sale"" cannot be returned.",what items are nonreturnable
130,Returns & Refunds,Can I return worn shoes?,Shoes must be returned in unworn condition. We recommend trying them on indoors on a carpeted surface.,can i return worn shoes
131,Technical Support,The website is not loading,"Please try clearing your browser cache and cookies, or try accessing the site in Incognito mode.",the website is not loading
132,Technical Support,Why is the site so slow?,We may be experiencing high traffic. Please refresh the page or try again in a few minutes.,why is the site so slow
133,Technical Support,The mobile app keeps crashing,Please ensure you have the latest version of our app installed. Try uninstalling and reinstalling if the issue persists.,the mobile app keeps crashing
134,Technical Support,I can't open the app,Restart your device and check for updates in the App Store or Google Play. Contact us if it still won't open.,i cant open the app
135,Technical Support,Items disappear from my cart,This can happen if your browser blocks cookies or a session expires. Try logging into your account to save your cart.,items disappear from my cart
136,Technical Support,I can't add items to my cart,Clear your browser cache or try a different browser. Ensure the item is actually in stock before adding.,i cant add items to my cart
137,Technical Support,The checkout page is frozen,"Please do not hit back or refresh. If it stays frozen for over 5 minutes, close the tab and try again.",the checkout page is frozen
138,Technical Support,I keep getting a 404 error,A 404 error means the page no longer exists. Please use the search bar to find the product you are looking for.,i keep getting a 404 error
139,Technical Support,My screen says 500 Internal Server Error,This is a temporary issue on our end. Please wait a few minutes and try refreshing the page.,my screen says 500 internal server error
140,Technical Support,Why is my password not working?,"Passwords are case sensitive. Make sure Caps Lock is off. If it still fails, use the password reset link.",why is my password not working
141,Technical Support,I didn't get the password reset email,"Check your spam/junk folder. If it's not there, ensure you entered the exact email address used to register.",i didnt get the password reset email
142,Technical Support,Your website looks weird on my phone,"Our site is optimized for modern browsers like Chrome, Safari, and Firefox. Please ensure your browser is up to date.",your website looks weird on my phone
143,Technical Support,I can't click the checkout button,Make sure all required fields (like shipping method and address) are filled out. Missing fields can disable the button.,i cant click the checkout button
144,Technical Support,Promo code box isn't showing up,The promo code box is located on the right side of the checkout page above your subtotal. It may be collapsed on mobile.,promo code box isnt showing up
145,Technical Support,Is there an issue with your servers right now?,"You can check our system status page. If there is scheduled maintenance, a banner will be displayed on the homepage.",is there an issue with your servers right now
146,Technical Support,I can't upload a picture for my custom order,Please ensure your image is in JPG or PNG format and is under 5MB in size.,i cant upload a picture for my custom order
147,Technical Support,The search bar isn't working,"Try typing a broader keyword. If the technical glitch persists, try clearing your browser's cache.",the search bar isnt working
148,Technical Support,How do I clear my cache?,"In most browsers, press Ctrl+Shift+Delete (Windows) or Cmd+Shift+Delete (Mac) to access the clear cache menu.",how do i clear my cache
149,Technical Support,My account language changed,Scroll to the very bottom of the homepage and select your preferred language from the dropdown menu.,my account language changed
150,Technical Support,Currency is displaying incorrectly,You can change the displayed currency using the selector at the top right corner of the website.,currency is displaying incorrectly
151,Contact & General,How do I contact customer service?,"You can reach us via live chat, email at support@example.com, or call us at 1-800-555-0199.",how do i contact customer service
152,Contact & General,I want to talk to a human,"Please type ""agent"" in the chat to be transferred, or call our support line during business hours.",i want to talk to a human
153,Contact & General,Can I call you?,"Yes, our customer service phone number is 1-800-555-0199.",can i call you
154,Contact & General,What is your phone number?,You can reach our support team directly at 1-800-555-0199.,what is your phone number
155,Contact & General,What are your business hours?,"Our customer support team is available Monday through Friday, 8 AM to 8 PM EST.",what are your business hours
156,Contact & General,Are you open on weekends?,"Our live chat and phone support are closed on weekends, but you can always email us and we will reply Monday.",are you open on weekends
157,Contact & General,Where are you located?,"Our headquarters is located in New York City, with fulfillment centers across the country.",where are you located
158,Contact & General,Do you have physical stores?,"Yes, we have retail locations in New York, Los Angeles, and Chicago. Check our ""Store Locator"" page.",do you have physical stores
159,Contact & General,Can I visit your store?,Absolutely! Use our store locator on the website to find the location and hours of a store near you.,can i visit your store
160,Contact & General,How long does it take to get an email reply?,We aim to respond to all email inquiries within 24 business hours.,how long does it take to get an email reply
161,Contact & General,I emailed but nobody replied,"We apologize for the delay. Please check your spam folder, or reach out via live chat for immediate assistance.",i emailed but nobody replied
162,Contact & General,Do you offer wholesale accounts?,"Yes, we do! Please visit our B2B Wholesale page and submit an application.",do you offer wholesale accounts
163,Contact & General,I want to buy in bulk,"For bulk purchases, please contact our sales team at sales@example.com for potential discounts.",i want to buy in bulk
164,Contact & General,Do you do corporate gifting?,"Yes, we offer specialized corporate gifting packages. Please email corporate@example.com for a catalog.",do you do corporate gifting
165,Contact & General,Are your products authentic?,"Yes, we are an authorized retailer for all the brands we carry, guaranteeing 100% authenticity.",are your products authentic
166,Contact & General,Is this a scam website?,"We are a verified, legitimate business operating for over 10 years with thousands of positive reviews.",is this a scam website
167,Contact & General,Where can I read reviews?,"You can read customer reviews on each product page, or visit our Trustpilot profile for company reviews.",where can i read reviews
168,Contact & General,How do I leave a review?,"A few days after your purchase, you will receive an email with a link to review the items you bought.",how do i leave a review
169,Contact & General,Do you price match?,We price match identical items from authorized major retailers within 7 days of purchase.,do you price match
170,Contact & General,Does your company care about sustainability?,"Yes, we use 100% recyclable packaging and offset our carbon emissions for all shipping.",does your company care about sustainability
173,Greetings,Hey there,Hey! What can I help you with today?,hey there
178,Greetings,Thank you,You're welcome! Is there anything else I can help with?,thank you
179,Greetings,Thanks for your help,Happy to help! Let me know if you need anything else.,thanks for your help
180,Greetings,"Bye, see you later","Goodbye! Have a great day, and feel free to come back anytime.",bye see you later
182,Account,"I forgot my password, what do I do?","Go to the login page and select ""Forgot Password"" to receive a reset link via email.",i forgot my password what do i do
183,Account,How can I change my password?,"Log in, go to ""Account Settings,"" and select ""Change Password"" to update it.",how can i change my password
185,Account,I want to sign up for a new account,"You can register by clicking ""Sign Up"" and filling in your name, email, and password.",i want to sign up for a new account
187,Account,Can I close my account permanently?,"Yes, you can permanently close your account from Account Settings > Privacy > Delete Account.",can i close my account permanently
188,Account,How do I update my email address?,"Go to ""Account Settings"" > ""Personal Information"" to update your registered email address.",how do i update my email address
189,Account,How do I change my phone number on file?,"Navigate to ""Account Settings"" > ""Personal Information"" and edit your phone number.",how do i change my phone number on file
190,Account,How do I update my shipping address?,"Go to ""Account Settings"" > ""Addresses"" to add, edit, or remove saved addresses.",how do i update my shipping address
191,Account,Can I have multiple saved addresses?,"Yes, you can save multiple addresses under ""Account Settings"" > ""Addresses"" and choose one at checkout.",can i have multiple saved addresses
192,Account,Why can't I log into my account?,"Double-check your email and password. If the issue continues, reset your password or contact support.",why cant i log into my account
193,Account,"My account is locked, what should I do?",Accounts are usually locked after multiple failed login attempts. Reset your password or contact support to unlock it.,my account is locked what should i do
194,Account,How do I verify my email address?,Check your inbox for a verification email and click the confirmation link. You can resend it from the login page if needed.,how do i verify my email address
195,Account,I didn't receive my verification email,"Check your spam folder first. If it's not there, click ""Resend Verification Email"" on the login page.",i didnt receive my verification email
196,Account,How do I enable two-factor authentication?,"Go to ""Account Settings"" > ""Security"" and turn on two-factor authentication for added protection.",how do i enable twofactor authentication
197,Account,Is two-factor authentication required?,Two-factor authentication is optional but highly recommended for extra account security.,is twofactor authentication required
198,Account,Can I merge two accounts into one?,"Currently, accounts cannot be merged. Please continue using your primary account for future orders.",can i merge two accounts into one
199,Account,How do I update my saved payment methods?,"Go to ""Account Settings"" > ""Payment Methods"" to add, edit, or remove cards.",how do i update my saved payment methods
200,Account,How can I view my order history?,"Go to ""My Orders"" in your account dashboard to see all past and current orders.",how can i view my order history
201,Account,Can I change my username?,"Usernames are tied to your email and cannot be changed directly, but you can update your display name in Account Settings.",can i change my username
203,Account,How do I unsubscribe from marketing emails?,"Click ""Unsubscribe"" at the bottom of any marketing email, or turn it off in ""Communication Preferences.""",how do i unsubscribe from marketing emails
204,Account,Is my personal information secure?,"Yes, we use industry-standard encryption to protect your personal and payment information.",is my personal information secure
205,Account,How do I update my date of birth or personal details?,"Go to ""Account Settings"" > ""Personal Information"" to update your profile details.",how do i update my date of birth or personal details
207,Orders,How do I track my package?,"Visit ""My Orders,"" select the order, and click ""Track Package"" for live updates.",how do i track my package
208,Orders,Can you tell me the status of my order?,"You can check real-time order status anytime under ""My Orders.""",can you tell me the status of my order
209,Orders,How do I place an order?,"Add items to your cart, proceed to checkout, enter your shipping and payment details, and confirm your purchase.",how do i place an order
211,Orders,How do I cancel an order I just placed?,"Orders can be cancelled within a short window after purchase from ""My Orders,"" as long as they haven't shipped.",how do i cancel an order i just placed
212,Orders,Can I modify my order after placing it?,"Order details like size or color usually can't be changed after placing, but you can cancel and reorder if it hasn't shipped.",can i modify my order after placing it
213,Orders,How do I add an item to an order I already placed?,"Once an order is placed, items can't be added to it. Please place a new order for additional items.",how do i add an item to an order i already placed
214,Orders,Can I change my shipping address after ordering?,"If the order hasn't shipped yet, contact support immediately to update the shipping address.",can i change my shipping address after ordering
215,Orders,My order shows as delivered but I haven't received it,"Please check with neighbors or your building's front desk, then contact support if you still can't locate it.",my order shows as delivered but i havent received it
216,Orders,Why is my order delayed?,"Delays can happen due to high demand, weather, or carrier issues. Check tracking for the latest updates.",why is my order delayed
217,Orders,How long does it take to process an order?,Orders are typically processed within 1–2 business days before shipping.,how long does it take to process an order
218,Orders,Can I combine two orders into one shipment?,"Orders placed separately usually can't be combined, but you can contact support to check if it's still possible.",can i combine two orders into one shipment
219,Orders,How do I view my order confirmation?,"An order confirmation is emailed to you immediately after purchase, and it's also viewable under ""My Orders.""",how do i view my order confirmation
220,Orders,I didn't get an order confirmation email,"Check your spam folder, or view your confirmation directly under ""My Orders"" in your account.",i didnt get an order confirmation email
221,Orders,Can I order an item that's out of stock?,"You can click ""Notify Me"" on the product page to get an alert when it's back in stock.",can i order an item thats out of stock
222,Orders,When will an out-of-stock item be available again?,Restock timing varies by item. We recommend turning on restock notifications for updates.,when will an outofstock item be available again
223,Orders,How do I reorder a previous purchase?,"Go to ""My Orders,"" find the past order, and click ""Buy Again.""",how do i reorder a previous purchase
224,Orders,Can I order as a guest without an account?,"Yes, guest checkout is available, though creating an account lets you track orders more easily.",can i order as a guest without an account
225,Orders,How do I apply a promo code to my order?,"Enter your promo code in the ""Discount Code"" field at checkout before confirming payment.",how do i apply a promo code to my order
226,Orders,My promo code isn't working,"Check the code's expiration date and terms. If it still fails, contact support with the code and order details.",my promo code isnt working
227,Orders,Can I split my order into multiple deliveries?,"Some orders may ship in multiple packages automatically depending on warehouse location, but you can't manually split deliveries.",can i split my order into multiple deliveries
228,Orders,Why was my order cancelled automatically?,"Orders can be auto-cancelled due to payment issues, stock unavailability, or fraud checks. Check your email for details.",why was my order cancelled automatically
229,Orders,How do I know if my order was successfully placed?,"You'll receive an order confirmation email, and the order will appear under ""My Orders"" with a status update.",how do i know if my order was successfully placed
230,Orders,Can I order items for international shipping?,"Yes, international shipping is available for most items; eligible countries are shown at checkout.",can i order items for international shipping
231,Orders,How do I request a gift receipt?,"Select ""This is a gift"" at checkout to include a gift receipt without prices.",how do i request a gift receipt
232,Orders,Can I send an order directly to someone else's address?,"Yes, simply enter the recipient's address as the shipping address at checkout.",can i send an order directly to someone elses address
233,Orders,How do I check what items are in my order?,"Open the order under ""My Orders"" to see a full list of items, quantities, and prices.",how do i check what items are in my order
234,Orders,Is there a limit to how many items I can order at once?,"Most items have no strict limit, though high-demand products may have a per-customer purchase limit.",is there a limit to how many items i can order at once
235,Orders,"My order was charged twice, what happened?",This is often a temporary authorization hold rather than a duplicate charge. Contact support if it doesn't resolve within a few days.,my order was charged twice what happened
237,Shipping,What are your shipping options?,"We offer standard, expedited, and express shipping options at checkout.",what are your shipping options
238,Shipping,How much does shipping cost?,"Shipping cost depends on your location, order size, and chosen delivery speed; the exact fee is shown at checkout.",how much does shipping cost
241,Shipping,How can I track my shipment?,"Go to ""My Orders"" and click ""Track Package"" to see real-time shipment updates.",how can i track my shipment
242,Shipping,Why hasn't my tracking updated in days?,"Tracking can lag during transit, especially with carrier handoffs. It usually updates once the package reaches the next checkpoint.",why hasnt my tracking updated in days
243,Shipping,Can I change my delivery address after the order has shipped?,"Once an order has shipped, the delivery address can't be changed. Contact the carrier directly for redirect options if available.",can i change my delivery address after the order has shipped
245,Shipping,Can I schedule a specific delivery date or time?,"Some expedited shipping options allow date selection at checkout, though exact time slots aren't guaranteed.",can i schedule a specific delivery date or time
247,Shipping,What carriers do you use for shipping?,We partner with major carriers and select the best option based on your location and shipping speed.,what carriers do you use for shipping
248,Shipping,"My package arrived damaged, what should I do?",Please contact support with photos of the damaged package so we can arrange a replacement or refund.,my package arrived damaged what should i do
249,Shipping,My tracking says delivered but I never got it,"Check around your delivery location and with neighbors first, then contact support if it remains missing.",my tracking says delivered but i never got it
250,Shipping,Can I pick up my order in-store instead of shipping?,In-store pickup is available for select locations and items; this option will appear at checkout if eligible.,can i pick up my order instore instead of shipping
252,Shipping,What is the shipping cutoff time for next-day delivery?,Orders must typically be placed before the daily cutoff shown at checkout to qualify for next-day delivery.,what is the shipping cutoff time for nextday delivery
253,Shipping,Why is my order shipping in multiple packages?,Items stored in different warehouses may ship separately to get you your order faster.,why is my order shipping in multiple packages
254,Shipping,Can I expedite shipping after placing my order?,Shipping speed usually can't be changed after an order is placed. Contact support to see if it's still possible before dispatch.,can i expedite shipping after placing my order
